,,,-11.1000E-3,315.40000E-3,
,,,-11.0800E-3,315.80001E-3,
,,,-11.0600E-3,315.00000E-3,
,,,-11.0400E-3,316.20002E-3,
,,,-11.0200E-3,315.40000E-3,
,,,-11.0000E-3,315.00000E-3,
,,,-10.9800E-3,315.40000E-3,
,,,-10.9600E-3,314.59999E-3,
,,,-10.9400E-3,315.40000E-3,
,,,-10.9200E-3,314.59999E-3,
,,,-10.9000E-3,315.40000E-3,
,,,-10.8800E-3,314.59999E-3,
,,,-10.8600E-3,315.40000E-3,
,,,-10.8400E-3,316.20002E-3,
,,,-10.8200E-3,316.20002E-3,
,,,-10.8000E-3,315.80001E-3,
,,,-10.7800E-3,315.80001E-3,
,,,-10.7600E-3,316.20002E-3,
,,,-10.7400E-3,316.20002E-3,
,,,-10.7200E-3,316.59999E-3,
,,,-10.7000E-3,315.40000E-3,
,,,-10.6800E-3,314.59999E-3,
,,,-10.6600E-3,315.40000E-3,
,,,-10.6400E-3,315.80001E-3,
,,,-10.6200E-3,315.40000E-3,
,,,-10.6000E-3,315.40000E-3,
,,,-10.5800E-3,315.40000E-3,
,,,-10.5600E-3,315.00000E-3,
,,,-10.5400E-3,315.40000E-3,
,,,-10.5200E-3,315.00000E-3,
,,,-10.5000E-3,315.80001E-3,
,,,-10.4800E-3,315.40000E-3,
,,,-10.4600E-3,315.40000E-3,
,,,-10.4400E-3,316.59999E-3,
,,,-10.4200E-3,315.40000E-3,
,,,-10.4000E-3,315.40000E-3,
,,,-10.3800E-3,315.00000E-3,
,,,-10.3600E-3,316.20002E-3,
,,,-10.3400E-3,315.00000E-3,
,,,-10.3200E-3,315.40000E-3,
,,,-10.3000E-3,315.80001E-3,
,,,-10.2800E-3,315.00000E-3,
,,,-10.2600E-3,315.80001E-3,
,,,-10.2400E-3,315.40000E-3,
,,,-10.2200E-3,315.40000E-3,
,,,-10.2000E-3,316.20002E-3,
,,,-10.1800E-3,315.80001E-3,
,,,-10.1600E-3,315.40000E-3,
,,,-10.1400E-3,315.00000E-3,
,,,-10.1200E-3,315.80001E-3,
,,,-10.1000E-3,315.40000E-3,
,,,-10.0800E-3,315.40000E-3,
,,,-10.0600E-3,315.80001E-3,
,,,-10.0400E-3,315.40000E-3,
,,,-10.0200E-3,316.20002E-3,
,,,-10.0000E-3,314.20001E-3,
,,,-9.980000E-3,315.00000E-3,
,,,-9.960000E-3,315.00000E-3,
,,,-9.940000E-3,315.80001E-3,
,,,-9.920000E-3,315.80001E-3,
,,,-9.900000E-3,315.40000E-3,
,,,-9.880000E-3,315.40000E-3,
,,,-9.860000E-3,315.40000E-3,
,,,-9.840000E-3,315.80001E-3,
,,,-9.820000E-3,315.80001E-3,
,,,-9.800000E-3,315.40000E-3,
,,,-9.780000E-3,315.80001E-3,
,,,-9.760000E-3,316.20002E-3,
,,,-9.740000E-3,315.40000E-3,
,,,-9.720000E-3,315.00000E-3,
,,,-9.700000E-3,315.80001E-3,
,,,-9.680000E-3,315.00000E-3,
,,,-9.660000E-3,316.59999E-3,
,,,-9.640000E-3,315.40000E-3,
