Run started at:  2/5/2009 5:28:28 PM
Event	Real Time (min)	Lifetime (microsec)
947	   467.51	 0.9700
948	   467.60	 3.0840
949	   467.77	 2.5320
950	   467.86	 0.1280
951	   468.37	 0.5710
952	   468.54	 1.7120
953	   468.96	 5.0200
954	   470.14	 0.1260
955	   472.31	 2.2880
956	   472.40	 0.5950
957	   472.57	 0.1230
958	   472.83	 0.1190
959	   473.08	 0.2430
960	   473.50	 0.1430
961	   473.76	 0.1180
962	   474.85	 0.1200
963	   475.10	 1.2600
964	   475.61	 7.2120
965	   475.78	 0.2620
966	   475.95	 7.2900
967	   476.79	 0.1200
968	   477.05	 1.3410
969	   477.56	 0.1170
970	   478.06	 1.3320
971	   478.49	 0.1220
972	   478.91	 0.9390
973	   479.33	 0.3710
974	   479.50	 0.6280
975	   479.59	 2.1600
976	   479.76	 4.6910
977	   480.52	 0.1150
978	   480.61	 1.7270
979	   480.86	 0.6620
980	   481.95	 2.1990
981	   482.13	 8.7510
982	   482.21	 0.3890
983	   482.30	 0.1130
984	   482.64	 3.4800
985	   482.82	 1.0220
986	   483.15	 0.1200
987	   483.41	 0.9610
988	   483.58	 8.2690
989	   484.67	 1.7300
990	   485.76	 0.6200
991	   486.18	 0.2700
992	   486.27	 1.4940
993	   487.11	 0.5310
994	   487.37	 0.1300
995	   487.96	 1.4890
996	   488.96	 1.1390
997	   489.14	 0.4490
998	   489.89	 1.1220
999	   489.98	 1.7400
1000	   490.07	 2.5110
1001	   490.49	 0.3720
1002	   490.75	 1.9690
1003	   490.84	 0.5190
1004	   491.43	 0.4520
1005	   492.18	 0.1290
1006	   492.27	 0.5790
1007	   493.28	 0.1200
1008	   495.70	 0.1520
1009	   496.37	 0.1200
1010	   496.88	 3.5840
1011	   496.97	 2.7880
1012	   497.22	 3.2600
1013	   497.73	 2.4180
1014	   497.90	 0.1190
1015	   498.33	 0.1200
1016	   498.50	 0.2740
1017	   499.17	 2.7960
1018	   499.34	 0.9780
1019	   499.51	 0.1200
1020	   499.77	 0.1780
1021	   500.44	11.0800
1022	   501.28	 2.1190
1023	   502.04	 1.6600
1024	   502.38	 1.3700
1025	   502.80	 1.6230
1026	   502.89	 0.9410
1027	   502.98	 0.7000
1028	   503.48	 0.5490
1029	   503.57	 4.4200
1030	   503.66	 0.3600
1031	   503.83	 2.1400
1032	   504.09	 0.2190
1033	   504.26	 0.1490
1034	   504.60	 2.3810
1035	   505.02	 0.1610
1036	   505.78	 0.2700
1037	   506.54	 0.1200
1038	   506.71	 2.3730
1039	   507.21	 1.2700
1040	   507.47	 0.9710
1041	   507.64	 2.2600
1042	   507.73	 2.2820
1043	   508.65	 0.1200
1044	   509.74	 2.8800
1045	   509.83	 0.7850
1046	   510.00	 0.1200
1047	   510.68	 3.2360
1048	   510.93	 2.2690
1049	   511.36	 0.7500
1050	   511.86	 0.1910
1051	   512.79	 1.2460
1052	   513.29	 0.8420
1053	   513.38	 1.3300
1054	   513.47	 3.7900
1055	   515.14	 1.8800
1056	   516.31	 1.1390
1057	   516.65	 5.0730
1058	   517.08	 0.3100
1059	   517.50	 2.5750
