387	     1.82	 0.2570	 0.0000	 0.0000
388	     1.82	 0.2320	 0.0000	 0.0000
389	     1.83	 0.1790	 0.0000	 0.0000
390	     1.83	 0.0210	 0.0000	 0.0000
391	     1.84	 0.0690	 0.0000	 0.0000
392	     1.84	 0.1220	 0.0000	 0.0000
393	     1.85	 0.1830	 0.0000	 0.0000
394	     1.85	 0.0610	 0.0000	 0.0000
395	     1.86	 0.0980	 0.0000	 0.0000
396	     1.86	 0.3720	 0.0000	 0.0000
397	     1.87	 0.3680	 0.0000	 0.0000
398	     1.87	 0.0730	 0.0000	 0.0000
399	     1.88	 0.1780	 0.0000	 0.0000
400	     1.88	 0.0480	 0.0000	 0.0000
401	     1.88	 0.1230	 0.0000	 0.0000
402	     1.89	 0.1300	 0.0000	 0.0000
403	     1.89	 0.5420	 0.0000	 0.0000
404	     1.90	 0.2900	 0.0000	 0.0000
405	     1.90	 0.2050	 0.0000	 0.0000
406	     1.91	 0.2430	 0.0000	 0.0000
407	     1.91	 0.1110	 0.0000	 0.0000
408	     1.92	 0.1250	 0.0000	 0.0000
409	     1.92	 0.2500	 0.0000	 0.0000
410	     1.93	 0.3340	 0.0000	 0.0000
411	     1.93	 0.1970	 0.0000	 0.0000
412	     1.94	 0.0580	 0.0000	 0.0000
413	     1.94	 0.1310	 0.0000	 0.0000
414	     1.95	 0.0700	 0.0000	 0.0000
415	     1.95	 0.0520	 0.0000	 0.0000
416	     1.96	 0.6580	 0.0000	 0.0000
417	     1.96	 0.1440	 0.0000	 0.0000
418	     1.96	 0.1460	 0.0000	 0.0000
419	     1.97	 0.1410	 0.0000	 0.0000
420	     1.97	 0.1890	 0.0000	 0.0000
421	     1.98	 0.3420	 0.0000	 0.0000
422	     1.98	 0.1920	 0.0000	 0.0000
423	     1.99	 0.1170	 0.0000	 0.0000
424	     1.99	 0.0580	 0.0000	 0.0000
425	     2.00	 0.8110	 0.0000	 0.0000
426	     2.00	 0.5420	 0.0000	 0.0000
427	     2.01	 0.1310	 0.0000	 0.0000
428	     2.01	 0.2200	 0.0000	 0.0000
429	     2.02	 0.1620	 0.0000	 0.0000
430	     2.02	 0.0670	 0.0000	 0.0000
431	     2.03	 0.2640	 0.0000	 0.0000
432	     2.03	 0.1540	 0.0000	 0.0000
433	     2.04	 0.1330	 0.0000	 0.0000
434	     2.04	 0.0470	 0.0000	 0.0000
435	     2.05	 0.1920	 0.0000	 0.0000
436	     2.05	 0.1560	 0.0000	 0.0000
437	     2.05	 0.1310	 0.0000	 0.0000
438	     2.06	 0.0490	 0.0000	 0.0000
439	     2.07	 0.0740	 0.0000	 0.0000
440	     2.07	 0.6050	 0.0000	 0.0000
441	     2.07	 0.0490	 0.0000	 0.0000
442	     2.08	 0.0580	 0.0000	 0.0000
443	     2.08	 0.0470	 0.0000	 0.0000
444	     2.09	 0.2200	 0.0000	 0.0000
445	     2.09	 0.0600	 0.0000	 0.0000
446	     2.10	 0.0900	 0.0000	 0.0000
447	     2.10	 0.0590	 0.0000	 0.0000
448	     2.11	 0.0620	 0.0000	 0.0000
449	     2.11	 0.0910	 0.0000	 0.0000
450	     2.12	 0.3790	 0.0000	 0.0000
451	     2.12	 0.1130	 0.0000	 0.0000
452	     2.13	 0.2250	 0.0000	 0.0000
453	     2.13	 0.1080	 0.0000	 0.0000
454	     2.14	 0.2230	 0.0000	 0.0000
455	     2.14	 0.0600	 0.0000	 0.0000
456	     2.15	 0.1930	 0.0000	 0.0000
457	     2.15	 0.2270	 0.0000	 0.0000
458	     2.16	 0.1150	 0.0000	 0.0000
459	     2.16	 0.2160	 0.0000	 0.0000
460	     2.17	 0.5010	 0.0000	 0.0000
461	     2.17	 0.2190	 0.0000	 0.0000
462	     2.18	 0.2040	 0.0000	 0.0000
463	     2.18	 0.2420	 0.0000	 0.0000
464	     2.19	 0.1120	 0.0000	 0.0000
465	     2.19	 0.0900	 0.0000	 0.0000
466	     2.20	 0.3510	 0.0000	 0.0000
467	     2.20	 0.1410	 0.0000	 0.0000
468	     2.21	 0.2110	 0.0000	 0.0000
469	     2.21	 0.2300	 0.0000	 0.0000
470	     2.22	 0.0270	 0.0000	 0.0000
471	     2.22	 0.1410	 0.0000	 0.0000
472	     2.22	 0.8660	 0.0000	 0.0000
473	     2.23	 0.1200	 0.0000	 0.0000
474	     2.23	 0.4770	 0.0000	 0.0000
475	     2.24	 0.1220	 0.0000	 0.0000
476	     2.24	 0.2780	 0.0000	 0.0000
477	     2.25	 0.3210	 0.0000	 0.0000
478	     2.25	 0.6030	 0.0000	 0.0000
479	     2.26	 0.1700	 0.0000	 0.0000
480	     2.26	 0.1330	 0.0000	 0.0000
481	     2.27	 0.5980	 0.0000	 0.0000
482	     2.27	 0.3500	 0.0000	 0.0000
483	     2.28	 0.1510	 0.0000	 0.0000
484	     2.28	 0.1810	 0.0000	 0.0000
485	     2.29	 0.4900	 0.0000	 0.0000
486	     2.29	 0.0830	 0.0000	 0.0000
487	     2.30	 0.0580	 0.0000	 0.0000
488	     2.30	 0.1320	 0.0000	 0.0000
489	     2.31	 0.2430	 0.0000	 0.0000
490	     2.31	 0.1890	 0.0000	 0.0000
491	     2.32	 0.2290	 0.0000	 0.0000
492	     2.32	 0.2590	 0.0000	 0.0000
493	     2.32	 0.1710	 0.0000	 0.0000
494	     2.33	 0.1450	 0.0000	 0.0000
495	     2.33	 0.1570	 0.0000	 0.0000
496	     2.34	 0.2460	 0.0000	 0.0000
497	     2.34	 0.3420	 0.0000	 0.0000
498	     2.35	 0.1730	 0.0000	 0.0000
499	     2.35	 0.0850	 0.0000	 0.0000
500	     2.36	 0.1310	 0.0000	 0.0000
501	     2.36	 0.3660	 0.0000	 0.0000
